iteration;target_authors;scope;dic_names_replaced;and_count_eq_1;comma_count_eq_target;rows_split;new_dictionary_names_rows_added
1;2;all;82243;66244;5249;66244;4145
2;2;all;82358;69529;4149;69529;3390
3;2;all;82358;69529;4136;69529;14
4;2;all;82358;69529;4136;69529;0
