old names;ror_name;ror_id
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
Bank of Italy;Bank of Italy;03v2nbx43
Kopargaon Taluka Education Society;The Anam Society for the Study Of Education;024ay6y96
SUNY Buffalo Law School;University at Buffalo, State University of New York;01y64my43
Moscow State Institute of International Relations (MGIMO);Moscow State Institute of International Relations;04zn7jb34
University of Ibadan;University of Ibadan;03wx2rr30
University of Limpopo;University of Limpopo;017p87168
University of Lincoln (UK) - School of Social Sciences;University of Lincoln;03yeq9x20
Eskisehir Osmangazi University;Eskişehir Osmangazi University;01dzjez04
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Nizhny Novgorod Institute of Management;Russian Academy of Arts;05960ca78
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA);Russian Academy of Arts;05960ca78
Srinivas University;Srinivas University;019qzkn95
Martin Luther University of Halle-Wittenberg;Luther University;015dhy417
Faculty of Law SRM University Delhi-NCR Sonepat;SRM University;037skf023
Universidad Nacional Mayor de San Marcos;National University of San Marcos;006vs7897
International Council for Family Business;International Olive Council;0006wrh30
University Institute of Lisbon (ISCTE-IUL);Iscte – Instituto Universitário de Lisboa;014837179
Ca Foscari University of Venice - Dipartimento di Economia;Ca' Foscari University of Venice;04yzxz566
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;Institute of Applied Economic Research;02d3hy418
CPB Netherlands Bureau of Economic Policy Analysis;CPB Netherlands Bureau for Economic Policy Analysis;04rjxzd30
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
World Bank - International Trade Division;World Bank;00ae7jd04
The World Bank;World Bank;00ae7jd04
World Bank;World Bank;00ae7jd04
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04
