iteration;target_authors;scope;dic_names_replaced;and_count_eq_1;comma_count_eq_target;rows_split;new_dictionary_names_rows_added
1;3;all;63680;53554;5283;47284;546
2;3;all;63680;53554;5283;47284;59
3;3;all;63680;53554;5283;47284;0
